000151.SZ	中成股份	266543967.0000 	18.9762 	819566433.8000 	4854683.2500 	37.1539
000156.SZ	华数传媒	993624337.0000 	17.5858 	2182759674.6100 	1372772469.1600 	31.8328
000157.SZ	中联重科	6265568472.0000 	4.7097 	31649137869.1100 	22628043357.8200 	21.0747
000158.SZ	常山股份	765785604.0000 	11.3800 	6004796844.9600 	581918023.5900 	39.2886
000159.SZ	国际实业	481139294.0000 	8.9022 	644034244.0800 	147988867.7100 	32.6682
000301.SZ	东方市场	1218236445.0000 	5.0737 	988529939.7800 	420054590.9500 	28.5084
000333.SZ	美的集团	6367532421.0000 	29.9907 	85196943000.0000 	11847313000.0000 	28.9281
000338.SZ	潍柴动力	2159455763.0000 	11.5515 	44590790062.6800 	37349142891.1900 	27.3754
000400.SZ	许继电气	737432596.0000 	18.0332 	5533715046.5700 	713320317.3800 	28.5800
000401.SZ	冀东水泥	1347188471.0000 	13.5363 	18951129894.5000 	10527806834.5300 	30.5365
000402.SZ	金融街	2986964923.0000 	10.7647 	34232909810.4700 	49518492792.8800 	37.2155
000403.SZ	ST生化	188192124.0000 	30.4764 	685135172.2400 	59337000.0000 	29.7783
000404.SZ	华意压缩	558395998.0000 	9.9692 	4681278004.3800 	111353636.7100 	28.7044
000407.SZ	胜利股份	666190762.0000 	9.3721 	1227628007.4600 	161629524.1100 	26.9892
000408.SZ	*ST金源	252300600.0000 	15.0201 	1133897302.4100 	528641274.0900 	28.4721
000409.SZ	山东地矿	357747806.0000 	12.1922 	3689314181.5300 	1085684308.1500 	42.2013
000410.SZ	沈阳机床	739825146.0000 	11.5718 	17681522558.4700 	6320944249.7600 	33.8798
000411.SZ	英特集团	207314121.0000 	22.9287 	5705067126.6900 	49447865.0500 	35.0276
000415.SZ	渤海金控	3115585808.0000 	7.0267 	42614240000.0000 	118219105000.0000 	20.8188
000416.SZ	民生控股	531610254.0000 	12.2886 	174463315.5900 	122869.8000 	39.3278
000417.SZ	合肥百货	778989390.0000 	8.7491 	4230155166.1600 	397076128.9200 	21.8745
000418.SZ	小天鹅A	438535172.0000 	34.0160 	9852060777.7100 	37742215.1700 	28.7181
000419.SZ	通程控股	543289983.0000 	8.1389 	1589457799.5300 	67184211.3500 	30.6293
000420.SZ	吉林化纤	636613696.0000 	3.9624 	1562766246.7800 	204658835.0300 	27.0303
000421.SZ	南京公用	392309100.0000 	8.8045 	3507159612.5900 	180624588.4500 	32.7509
000422.SZ	湖北宜化	897812984.0000 	7.5948 	23049199745.2200 	9560495941.4900 	25.9916
000423.SZ	东阿阿胶	653867313.0000 	55.3638 	1216760235.0600 	68787140.9800 	23.8869
000425.SZ	徐工机械	6993565672.0000 	3.5486 	18458310817.9900 	5465141780.7300 	26.5548
000426.SZ	兴业矿业	963324310.0000 	9.0909 	875305592.8100 	782799542.1300 	59.8382
000428.SZ	华天酒店	718794175.0000 	7.7157 	4493114317.3700 	1647718053.4700 	25.1585
000429.SZ	粤高速A	468677451.0000 	7.1714 	2240939328.4900 	5520066894.0100 	24.1889
000430.SZ	张家界	209033647.0000 	12.1644 	497004944.3600 	251154573.3100 	22.5409
000488.SZ	晨鸣纸业	1105591276.0000 	12.0845 	46708641438.7300 	13011853878.2200 	26.9339
000498.SZ	山东路桥	354170133.0000 	8.6077 	8387444045.2200 	1108864439.6100 	29.9567
000501.SZ	鄂武商A	507199303.0000 	22.1853 	10001130611.3400 	1917171364.4500 	23.0061
000503.SZ	海虹控股	898822204.0000 	42.8812 	79346022.8900 	1015416.5800 	42.6988
000504.SZ	*ST生物	310673201.0000 	17.7730 	112413275.0200 	1500000.0000 	33.6918
000505.SZ	*ST珠江	360445273.0000 	11.0761 	2095550312.7200 	131616173.2700 	39.5113
000506.SZ	中润资源	928670961.0000 	9.5627 	1630021778.8700 	187586932.4400 	41.9265
000507.SZ	珠海港	772143778.0000 	6.2663 	1305335191.2300 	1541597067.8100 	29.0272
000509.SZ	华塑控股	825015098.0000 	8.2838 	491654322.9300 	22223631.2000 	37.2941
000510.SZ	金路集团	563433567.0000 	11.5837 	556075085.0300 	38387544.4800 	67.0418
000513.SZ	丽珠集团	235757217.0000 	57.8231 	3483428514.9900 	117937385.6200 	21.2154
000514.SZ	渝开发	843770965.0000 	12.4466 	2222956160.5500 	1351478981.5500 	35.9653
000517.SZ	荣安地产	3035595402.0000 	5.2576 	3953365825.0600 	1577543326.3100 	37.0664
000518.SZ	四环生物	1029535693.0000 	8.4180 	465897246.6300 	16092622.0000 	32.0129
000519.SZ	中兵红箭	582867108.0000 	16.0269 	775999018.9100 	65228191.6300 	39.2411
000520.SZ	长航凤凰	1012083455.0000 	7.8812 	216827780.3600 	53036991.2100 	41.9315
000521.SZ	美菱电器	592431984.0000 	6.9102 	8974083078.8200 	545257975.6100 	21.2535
000523.SZ	广州浪奇	445758632.0000 	11.6703 	1845661091.0200 	44661145.2800 	28.7488
000524.SZ	岭南控股	269671562.0000 	14.8702 	79171954.2100 	135694129.1100 	47.1956
000525.SZ	红太阳	506983093.0000 	20.4898 	4715225739.8500 	188606732.2000 	30.9317
000526.SZ	紫光学大	96195107.0000 	39.0188 	3396152604.1600 	20519783.9800 	40.3751
000528.SZ	柳工	1125077561.0000 	8.4002 	9068074511.2700 	2632741894.6800 	28.5783
000529.SZ	广弘控股	567197793.0000 	10.9969 	346549308.2400 	3873948.5400 	36.2595
000530.SZ	大冷股份	356843827.0000 	10.6777 	1339366588.3600 	283944695.0800 	51.7337
000531.SZ	穗恒运A	685081244.0000 	11.2000 	3193566795.8800 	1949024734.9100 	28.8685
000532.SZ	力合股份	343483446.0000 	17.7867 	357763625.3200 	347972066.8900 	48.4127
000533.SZ	万家乐	684902400.0000 	10.9056 	1858842334.1200 	332027497.0700 	41.8019
000534.SZ	万泽股份	491287919.0000 	14.5266 	839656391.4700 	370032777.7800 	49.7649
000536.SZ	华映科技	777074889.0000 	12.0795 	6197652867.1400 	80367906.0400 	38.5577
000537.SZ	广宇发展	512703381.0000 	9.0789 	6052874632.4600 	5471890000.0000 	25.6793
000538.SZ	云南白药	1041392430.0000 	76.5722 	5594599715.1300 	1979891007.2300 	17.2343
000539.SZ	粤电力A	2553909163.0000 	5.4676 	16636999640.0000 	24853129866.0000 	15.8753
000540.SZ	中天城投	3932151234.0000 	6.4456 	24100970087.0600 	28121156220.8700 	24.8699
000541.SZ	佛山照明	974947683.0000 	9.6854 	722546630.9600 	356557927.3100 	25.8259
000543.SZ	皖能电力	1790395978.0000 	7.2847 	5819006948.4300 	5004617951.3300 	26.3014
000544.SZ	中原环保	269459799.0000 	19.5569 	919275451.0900 	622164238.7000 	27.6779
000545.SZ	金浦钛业	959403096.0000 	5.7405 	670155941.4000 	122759017.4500 	30.9550
000546.SZ	金圆股份	273647644.0000 	12.2363 	1798215162.8900 	942035708.6000 	33.2223
000547.SZ	航天发展	901247713.0000 	15.5042 	849586325.4700 	473509053.5900 	21.6331
000548.SZ	湖南投资	499201046.0000 	8.3085 	758581690.8400 	2419824.3700 	35.7013
000550.SZ	江铃汽车	517488100.0000 	28.9971 	9200412517.0000 	324972476.0000 	31.2517
000551.SZ	创元科技	400080405.0000 	10.3771 	1518259734.8300 	219952207.4900 	33.1084
000552.SZ	靖远煤电	1557438726.0000 	3.8276 	3072624832.9300 	8230646.6100 	29.7720
000553.SZ	沙隆达A	363902689.0000 	14.2388 	527380658.3100 	440380087.9500 	55.1283
000554.SZ	泰山石油	362649713.0000 	12.3944 	124093703.3100 	10497226.9000 	33.9098
000555.SZ	神州信息	886289328.0000 	20.4582 	3985309750.6500 	43057316.3700 	39.1161
000557.SZ	西部创业	585245214.0000 	6.2878 	1100333941.6200 	263714456.4700 	24.8106
000559.SZ	万向钱潮	2289896462.0000 	12.7446 	4065374934.4600 	2322049513.7000 	25.6573
000561.SZ	烽火电子	593991864.0000 	15.2288 	799152169.9300 	259039220.7500 	35.2570
000563.SZ	陕国投A	2861863634.0000 	6.0903 	2231788500.5600 	878132.9500 	42.6112
000564.SZ	西安民生	520113880.0000 	8.3248 	13245589949.0800 	3499541497.8000 	30.7386
000565.SZ	渝三峡A	433592220.0000 	12.0963 	478791110.3800 	39777108.0000 	35.8994
000566.SZ	海南海药	988686084.0000 	13.4951 	2283069977.1200 	958287676.8200 	35.0413
000568.SZ	泸州老窖	1401771961.0000 	34.3158 	2448192767.1200 	84427842.1000 	27.7862
000570.SZ	苏常柴A	411374326.0000 	9.1925 	1116665475.4100 	155280475.4800 	32.3980
000571.SZ	新大洲A	735670813.0000 	7.7716 	1760097959.1500 	393823165.0800 	42.0776
000572.SZ	海马汽车	1642095224.0000 	5.6965 	6780933057.4300 	165235222.0100 	30.9780
000573.SZ	粤宏远A	622173326.0000 	9.2301 	1699428144.1900 	108614955.6400 	39.3039
000576.SZ	广东甘化	433838694.0000 	13.3579 	121520369.2200 	99195722.3200 	41.3625
000581.SZ	威孚高科	836491993.0000 	24.5547 	2789748757.0800 	613078286.4900 	30.6521
000582.SZ	北部湾港	202442457.0000 	16.9007 	2353725694.5900 	2637825021.9000 	31.9671
000585.SZ	东北电气	609420978.0000 	8.7349 	100908916.6000 	61221078.2500 	46.3516
000587.SZ	金洲慈航	576116262.0000 	15.7357 	13188368473.0600 	7879291196.7800 	30.8369
000589.SZ	黔轮胎A	745407256.0000 	6.2190 	4854449536.4600 	1834591762.8000 	23.6536
000590.SZ	启迪古汉	223236227.0000 	18.7585 	249953432.4800 	117996870.3500 	27.9207
000591.SZ	太阳能	241275331.0000 	13.2976 	5998040793.3000 	11932060298.2200 	25.0423
000592.SZ	平潭发展	1913324132.0000 	6.4530 	341417649.7300 	41527941.5600 	78.7842
000593.SZ	大通燃气	279782035.0000 	10.3558 	212657979.0800 	163570723.6000 	32.7766
000595.SZ	宝塔实业	495236000.0000 	10.1191 	428786597.1700 	113638309.2800 	70.9694
000596.SZ	古井贡酒	383599100.0000 	46.0963 	3087932421.4000 	151908562.9400 	34.8157
000597.SZ	东北制药	438549932.0000 	10.4255 	5098020736.5200 	2266945922.8200 	30.4004
000598.SZ	兴蓉环境	2986218602.0000 	5.6958 	3405128272.8500 	3923191168.1500 	19.0539
000599.SZ	青岛双星	627971874.0000 	8.5665 	2905892076.7000 	1723345842.3500 	34.7018
000600.SZ	建投能源	1090044126.0000 	9.0589 	5719686619.6600 	8551833229.5800 	17.1409
000601.SZ	韶能股份	1079808364.0000 	8.3063 	1756881764.3800 	2414820918.6600 	29.4830
000603.SZ	盛达矿业	409446967.0000 	15.9904 	267516654.3500 	994094.5000 	44.9948
000605.SZ	渤海股份	118435415.0000 	22.4579 	980586317.1600 	374200019.0900 	54.9909
000606.SZ	*ST易桥	469323857.0000 	10.9649 	198047089.5900 	5600601.8100 	36.8226
000607.SZ	华媒控股	487269545.0000 	10.2600 	899443923.1000 	8153282.7000 	56.0262
000608.SZ	阳光股份	749771859.0000 	8.3043 	1352259000.0000 	4788671000.0000 	28.3809
000609.SZ	绵石投资	266417908.0000 	17.3702 	741779651.6700 	12913865.9200 	48.2666
000610.SZ	西安旅游	235131435.0000 	14.2342 	510939604.2900 	17578705.6100 	37.8990
000611.SZ	*ST天首	319064317.0000 	9.1292 	215834798.4300 	300000.0000 	36.8453
000612.SZ	焦作万方	991172761.0000 	11.5162 	914077899.0700 	1130002933.6500 	40.8837
000615.SZ	京汉股份	354289349.0000 	10.2628 	6797513048.4400 	587008533.3600 	45.1025
000616.SZ	海航投资	1430211225.0000 	5.1702 	1130911119.7100 	3410036512.4200 	25.6362
000617.SZ	中油资本	287539200.0000 	19.6168 	1496202935.1600 	110716597.7900 	48.8108
000619.SZ	海螺型材	360000000.0000 	13.9455 	314074715.5200 	921524962.6500 	27.2481
000620.SZ	新华联	1836946466.0000 	7.8344 	16053404562.2700 	17726995493.8700 	37.1114
000622.SZ	*ST恒立	425226000.0000 	8.4066 	77817971.2100 	56526103.0200 	49.8536
000623.SZ	吉林敖东	824818255.0000 	29.3064 	1027616301.9900 	410670173.4700 	36.0520
000625.SZ	长安汽车	3760881066.0000 	15.7822 	54995632511.3000 	6802288154.4700 	22.5806
000626.SZ	远大控股	404595000.0000 	23.0755 	10845361201.0700 	630787609.1000 	42.1527
000627.SZ	天茂集团	1353580041.0000 	7.6075 	3332288178.7000 	90120645396.9300 	27.4598
000628.SZ	高新发展	187978780.0000 	13.6193 	2921565373.9900 	137436052.0200 	42.3473
000629.SZ	*ST钒钛	4767296525.0000 	2.3615 	28248916748.0600 	20565204235.9200 	27.3014
000630.SZ	铜陵有色	9560489560.0000 	3.3426 	21117858674.5800 	4982350733.3500 	36.1638
000631.SZ	顺发恒业	2166296207.0000 	4.7923 	7657997557.1800 	3111177338.4500 	42.8221
000632.SZ	三木集团	465485356.0000 	8.4858 	3834653798.5900 	1585321246.2400 	31.6588
000633.SZ	*ST合金	384931172.0000 	11.5088 	7334996.0800 	754887504.7600 	31.9867
000636.SZ	风华高科	812548119.0000 	10.7458 	1574974037.9000 	368670107.4100 	25.4017
000637.SZ	茂化实华	366494967.0000 	8.4720 	250258512.8300 	50590508.6600 	41.2228
000638.SZ	万方发展	309400000.0000 	15.1750 	1227450718.6800 	614617998.2500 	56.6418
000639.SZ	西王食品	376645668.0000 	22.3988 	271678326.1200 	41000000.0000 	51.3559
000650.SZ	仁和药业	1237995020.0000 	6.8432 	553591945.8300 	17193245.2500 	23.5992
000651.SZ	格力电器	5971955954.0000 	25.5080 	130444863656.2700 	398911868.9700 	30.0128
000652.SZ	泰达股份	1465673135.0000 	5.6394 	16019791612.1000 	10824589333.6900 	45.7705
000655.SZ	金岭矿业	595340230.0000 	9.6760 	399073698.2800 	2357675.7400 	45.9973
000656.SZ	金科股份	3673717024.0000 	5.9057 	44857033130.6500 	36512536701.0500 	37.0593
000657.SZ	中钨高新	245570701.0000 	14.3475 	3005229794.0400 	462353013.4500 	48.8626
000659.SZ	珠海中富	1285702520.0000 	5.9672 	2100767337.2400 	20589370.6200 	42.2357
000661.SZ	长春高新	170035670.0000 	111.3895 	1292185080.7200 	166163049.8400 	21.9404
000662.SZ	天夏智慧	287947100.0000 	19.9643 	501712000.9100 	8717037.2000 	38.7002
000663.SZ	永安林业	189276726.0000 	15.7333 	1802188819.3100 	343988622.3600 	40.2054
000665.SZ	湖北广电	461070215.0000 	14.0665 	2031807626.4300 	67518834.7900 	27.7104
000666.SZ	经纬纺机	293518766.0000 	23.5442 	9728661322.6400 	8266537205.4400 	33.9689
000667.SZ	美好置业	2539918331.0000 	3.7310 	7038577580.0500 	4289422354.7600 	21.1218
000668.SZ	荣丰控股	146688393.0000 	24.3112 	159496573.6800 	1126320200.0000 	39.9276
000669.SZ	金鸿能源	478526080.0000 	16.4324 	4599092710.1900 	2908192398.2100 	24.3104
000670.SZ	*ST盈方	600167286.0000 	7.5805 	73089527.7500 	8808963.1800 	40.6618
000671.SZ	阳光城	3242712740.0000 	5.5800 	53246185662.3200 	41659771584.7000 	23.9311
000672.SZ	上峰水泥	813618682.0000 	12.4726 	3456157376.0400 	501169332.4500 	69.4217
000676.SZ	智度股份	314008699.0000 	17.5275 	1806454585.2700 	33855034.6600 	44.7229
000677.SZ	恒天海龙	863975623.0000 	6.6587 	178530546.8900 	30250543.6400 	40.5141
000678.SZ	襄阳轴承	429079797.0000 	13.6854 	1052937742.1700 	308596586.4000 	51.2421
000679.SZ	大连友谊	356342394.0000 	13.2860 	4789087129.7700 	1022034347.9700 	51.9117
000680.SZ	山推股份	1056949882.0000 	6.2298 	4955453809.7000 	692963318.7100 	30.9330
000681.SZ	视觉中国	196675478.0000 	17.8282 	757382155.7600 	433425196.2600 	37.1818
000683.SZ	远兴能源	2092758098.0000 	3.0724 	10668542199.1000 	1655524018.3900 	28.3739
000685.SZ	中山公用	1071018036.0000 	10.8985 	1803463262.9700 	1824362370.5600 	19.1506
000687.SZ	华讯方舟	531432792.0000 	16.2965 	1334768618.6400 	56675531.2400 	45.3401
000688.SZ	建新矿业	1137214367.0000 	10.1399 	176709181.1200 	32979841.0600 	50.9809
000691.SZ	ST亚太	290486300.0000 	9.3870 	96741706.2400 	88441122.0900 	50.7128
000692.SZ	惠天热电	532785880.0000 	6.3363 	2825768972.2800 	177904644.5000 	24.6641
000695.SZ	滨海能源	221721339.0000 	15.0199 	547804909.0900 	163590214.4700 	45.7971
000698.SZ	沈阳化工	432352808.0000 	8.1012 	4367515162.7000 	1314543314.8800 	27.4755
000700.SZ	模塑科技	697383762.0000 	8.4428 	2282197272.6800 	346438038.9100 	34.7528
000701.SZ	厦门信达	289693830.0000 	14.8927 	13508461412.8600 	1001818679.3000 	33.6880
000702.SZ	正虹科技	266633575.0000 	14.0547 	170917492.3600 	18436616.2500 	35.0745
000703.SZ	恒逸石化	1153587626.0000 	14.9989 	15835861686.9000 	686515456.5400 	36.0917
000705.SZ	浙江震元	281942251.0000 	12.6846 	682960348.7000 	20166532.0600 	30.5691
000707.SZ	双环科技	464144265.0000 	8.7458 	6572222418.1500 	2076829271.3900 	38.2110
